local_ts,session_id,sequence,sample_rate_hz,watch_sent_at,phone_received_at,source,ts,ax,ay,az,rx,ry,rz
2026-04-30T15:17:42.092116+00:00,30F1B557-6888-48BD-A6ED-FF4825B8903D,297,50,1777562262029,1777562262122,background,1777562261849,0.035534411668777466,0.06246054172515869,-0.05812269449234009,0.43624478578567505,-0.0400070920586586,0.0879492312669754
2026-04-30T15:17:42.092116+00:00,30F1B557-6888-48BD-A6ED-FF4825B8903D,297,50,1777562262029,1777562262122,background,1777562261868,0.03875105082988739,0.014500439167022705,-0.012437105178833008,0.18721657991409302,-0.03588246554136276,0.07063240557909012
2026-04-30T15:17:42.092116+00:00,30F1B557-6888-48BD-A6ED-FF4825B8903D,297,50,1777562262029,1777562262122,background,1777562261888,0.023768216371536255,-0.011602416634559631,-0.07748675346374512,-0.013953548856079578,0.09336747974157333,0.08268832415342331
2026-04-30T15:17:42.092116+00:00,30F1B557-6888-48BD-A6ED-FF4825B8903D,297,50,1777562262029,1777562262122,background,1777562261908,-0.0037738829851150513,0.020946577191352844,-0.17578142881393433,0.1124294251203537,0.24608302116394043,0.02725723572075367
2026-04-30T15:17:42.092116+00:00,30F1B557-6888-48BD-A6ED-FF4825B8903D,297,50,1777562262029,1777562262122,background,1777562261929,-0.03450220823287964,-0.04819914698600769,-0.1760709285736084,0.3453015685081482,0.39779776334762573,-0.07356317341327667
2026-04-30T15:17:42.092116+00:00,30F1B557-6888-48BD-A6ED-FF4825B8903D,297,50,1777562262029,1777562262122,background,1777562261949,-0.10835227370262146,-0.06020580232143402,-0.09242111444473267,0.7799656391143799,0.6214936971664429,-0.13286927342414856
2026-04-30T15:17:42.092116+00:00,30F1B557-6888-48BD-A6ED-FF4825B8903D,297,50,1777562262029,1777562262122,background,1777562261969,-0.23311707377433777,0.12853515148162842,-0.334503173828125,0.8351295590400696,1.1871082782745361,-0.13368850946426392
2026-04-30T15:17:42.092116+00:00,30F1B557-6888-48BD-A6ED-FF4825B8903D,297,50,1777562262029,1777562262122,background,1777562261990,-0.19921496510505676,0.04245132952928543,-0.5057201981544495,0.8183019161224365,1.74583101272583,-0.28162693977355957
2026-04-30T15:17:42.092116+00:00,30F1B557-6888-48BD-A6ED-FF4825B8903D,297,50,1777562262029,1777562262122,background,1777562262009,-0.15160632133483887,-0.035793088376522064,-0.42442506551742554,0.5157486200332642,2.205819606781006,-0.30902618169784546
2026-04-30T15:17:42.092116+00:00,30F1B557-6888-48BD-A6ED-FF4825B8903D,297,50,1777562262029,1777562262122,background,1777562262029,-0.11854526400566101,0.02270171046257019,-0.3563361167907715,0.76412034034729,2.351135015487671,-0.22447647154331207
2026-04-30T15:17:42.286948+00:00,30F1B557-6888-48BD-A6ED-FF4825B8903D,298,50,1777562262230,1777562262324,background,1777562262049,-0.056120097637176514,0.17621353268623352,-0.39011818170547485,1.4431008100509644,2.5009889602661133,-0.09915705770254135
