local_ts,session_id,sequence,sample_rate_hz,watch_sent_at,phone_received_at,server_received_ms,source,ts,ax,ay,az,rx,ry,rz
2026-04-30T16:25:52.214000+00:00,S006,0,50,1777566352126,1777566352222,1777566352214,message,1777566351974,-0.010343655943870544,-0.0013557672500610352,-0.054057776927948,-0.4111941158771515,0.13778679072856903,0.030118482187390327
2026-04-30T16:25:52.214000+00:00,S006,0,50,1777566352126,1777566352222,1777566352214,message,1777566351982,-0.040662236511707306,-0.004260897636413574,-0.007013380527496338,-0.20324064791202545,0.11686360090970993,-0.030573787167668343
2026-04-30T16:25:52.214000+00:00,S006,0,50,1777566352126,1777566352222,1777566352214,message,1777566351993,-0.024566277861595154,-0.04005454480648041,0.016215085983276367,-0.2939481735229492,0.12383780628442764,-0.05218544602394104
2026-04-30T16:25:52.214000+00:00,S006,0,50,1777566352126,1777566352222,1777566352214,message,1777566352005,0.003925025463104248,-0.024009138345718384,0.005421698093414307,-0.3573439419269562,0.0973278284072876,-0.03955806791782379
2026-04-30T16:25:52.214000+00:00,S006,0,50,1777566352126,1777566352222,1777566352214,message,1777566352026,0.011875040829181671,0.0083065927028656,0.01534116268157959,-0.24927498400211334,0.049437422305345535,-0.056921716779470444
2026-04-30T16:25:52.214000+00:00,S006,0,50,1777566352126,1777566352222,1777566352214,message,1777566352046,0.006654098629951477,0.03499341011047363,0.025299012660980225,-0.1119682639837265,0.016125651076436043,-0.033255431801080704
2026-04-30T16:25:52.214000+00:00,S006,0,50,1777566352126,1777566352222,1777566352214,message,1777566352068,0.013452969491481781,0.07366669178009033,0.009229004383087158,0.10488921403884888,-0.022906703874468803,-0.024036100134253502
2026-04-30T16:25:52.214000+00:00,S006,0,50,1777566352126,1777566352222,1777566352214,message,1777566352086,0.023586951196193695,0.02422887086868286,0.03700459003448486,0.13718056678771973,-0.06807764619588852,-0.005967883393168449
2026-04-30T16:25:52.214000+00:00,S006,0,50,1777566352126,1777566352222,1777566352214,message,1777566352106,-0.0023098960518836975,-0.008055895566940308,0.020361483097076416,0.018705062568187714,-0.06251829117536545,0.045629262924194336
2026-04-30T16:25:52.214000+00:00,S006,0,50,1777566352126,1777566352222,1777566352214,message,1777566352126,-0.023108728229999542,0.00509992241859436,-0.04642599821090698,0.07411505281925201,-0.021348070353269577,0.04535847157239914
2026-04-30T16:25:52.376000+00:00,S006,1,50,1777566352328,1777566352414,1777566352376,message,1777566352147,-0.012413159012794495,0.004678785800933838,-0.06392908096313477,0.1802726536989212,0.00591813400387764,0.03926633298397064
2026-04-30T16:25:52.376000+00:00,S006,1,50,1777566352328,1777566352414,1777566352376,message,1777566352167,-0.008853055536746979,-0.024393200874328613,-0.021657824516296387,0.12155235558748245,0.022768905386328697,0.029253965243697166
2026-04-30T16:25:52.376000+00:00,S006,1,50,1777566352328,1777566352414,1777566352376,message,1777566352187,-0.00990835577249527,-0.03375086188316345,-0.0017998218536376953,-0.000806853175163269,0.028631892055273056,-0.0071122972294688225
2026-04-30T16:25:52.376000+00:00,S006,1,50,1777566352328,1777566352414,1777566352376,message,1777566352207,-0.003367580473423004,-0.045498400926589966,0.01151353120803833,-0.08818943053483963,0.009533603675663471,-0.006188446655869484
2026-04-30T16:25:52.376000+00:00,S006,1,50,1777566352328,1777566352414,1777566352376,message,1777566352227,-0.009698174893856049,-0.022274672985076904,0.005699574947357178,-0.05880038067698479,-0.0008777201874181628,-0.0018481329316273332
2026-04-30T16:25:52.376000+00:00,S006,1,50,1777566352328,1777566352414,1777566352376,message,1777566352247,-0.006969176232814789,0.01490771770477295,-0.02015906572341919,0.053600192070007324,-0.0036566145718097687,0.007913577370345592
2026-04-30T16:25:52.376000+00:00,S006,1,50,1777566352328,1777566352414,1777566352376,message,1777566352268,0.004864118993282318,0.02186518907546997,-0.0039786696434021,0.11236736923456192,-0.0026676305569708347,0.0167417973279953
2026-04-30T16:25:52.376000+00:00,S006,1,50,1777566352328,1777566352414,1777566352376,message,1777566352287,0.0026060715317726135,0.011209383606910706,-0.0037828683853149414,0.10459838807582855,-0.003258700482547283,0.019313771277666092
2026-04-30T16:25:52.376000+00:00,S006,1,50,1777566352328,1777566352414,1777566352376,message,1777566352307,-0.0029731839895248413,-0.0055668652057647705,0.012069106101989746,0.07933644950389862,-0.00833689235150814,0.018084773793816566
2026-04-30T16:25:52.376000+00:00,S006,1,50,1777566352328,1777566352414,1777566352376,message,1777566352327,-0.007190138101577759,-0.0165548175573349,0.0043662190437316895,0.08977950364351273,-0.01739414967596531,0.02197379060089588
2026-04-30T16:25:52.567000+00:00,S006,2,50,1777566352529,1777566352624,1777566352567,message,1777566352347,-0.010783031582832336,-0.014364540576934814,-0.001998424530029297,0.12740464508533478,-0.02430509217083454,0.02990841120481491
2026-04-30T16:25:52.567000+00:00,S006,2,50,1777566352529,1777566352624,1777566352567,message,1777566352368,-0.004105478525161743,0.009175434708595276,-0.020021677017211914,0.21692466735839844,-0.020521271973848343,0.027260804548859596
2026-04-30T16:25:52.567000+00:00,S006,2,50,1777566352529,1777566352624,1777566352567,message,1777566352387,-0.0013840049505233765,-0.0029347091913223267,-0.015500366687774658,0.14186108112335205,-0.009496660903096199,0.02889699675142765
2026-04-30T16:25:52.567000+00:00,S006,2,50,1777566352529,1777566352624,1777566352567,message,1777566352407,0.0016491934657096863,-0.02392628788948059,0.008107602596282959,-0.008016563951969147,-0.0001563459518365562,0.020320657640695572
2026-04-30T16:25:52.567000+00:00,S006,2,50,1777566352529,1777566352624,1777566352567,message,1777566352428,-0.001763664186000824,-0.02589234709739685,0.0027474164962768555,-0.06622261554002762,0.0003055222623515874,0.0041705043986439705
2026-04-30T16:25:52.567000+00:00,S006,2,50,1777566352529,1777566352624,1777566352567,message,1777566352448,-0.00930941104888916,-0.019506677985191345,-0.009691894054412842,-0.06286303699016571,-0.00028760178247466683,0.01562193688005209
2026-04-30T16:25:52.567000+00:00,S006,2,50,1777566352529,1777566352624,1777566352567,message,1777566352470,-0.00849701464176178,0.00561147928237915,-0.01077812910079956,0.03647873178124428,-0.012158224359154701,0.010899833403527737
2026-04-30T16:25:52.567000+00:00,S006,2,50,1777566352529,1777566352624,1777566352567,message,1777566352488,0.003503553569316864,0.013429403305053711,0.0017313957214355469,0.0855107232928276,-0.015746338292956352,0.009173732250928879
2026-04-30T16:25:52.567000+00:00,S006,2,50,1777566352529,1777566352624,1777566352567,message,1777566352508,-0.0009580701589584351,0.0033854544162750244,-0.021016716957092285,0.0714404433965683,-0.002609307412058115,0.011784854345023632
2026-04-30T16:25:52.567000+00:00,S006,2,50,1777566352529,1777566352624,1777566352567,message,1777566352528,-0.005400411784648895,-0.006459236145019531,-0.02098667621612549,0.047407813370227814,0.009744716808199883,0.020962907001376152
2026-04-30T16:25:52.782000+00:00,S006,3,50,1777566352730,1777566352839,1777566352782,message,1777566352548,-0.0030348673462867737,-0.0009490698575973511,-0.009481549263000488,0.09315825998783112,0.007837093435227871,0.008587784133851528
2026-04-30T16:25:52.782000+00:00,S006,3,50,1777566352730,1777566352839,1777566352782,message,1777566352568,-0.005270272493362427,-0.005264148116111755,0.01391690969467163,0.1442970633506775,-0.0011753094149753451,0.0054921782575547695
2026-04-30T16:25:52.782000+00:00,S006,3,50,1777566352730,1777566352839,1777566352782,message,1777566352588,-0.005720265209674835,0.009426116943359375,-0.005671501159667969,0.23045378923416138,-0.001728371949866414,0.02094181440770626
2026-04-30T16:25:52.782000+00:00,S006,3,50,1777566352730,1777566352839,1777566352782,message,1777566352608,0.0018380135297775269,0.022123411297798157,-0.016591548919677734,0.33362865447998047,-0.008308167569339275,0.02568410523235798
2026-04-30T16:25:52.782000+00:00,S006,3,50,1777566352730,1777566352839,1777566352782,message,1777566352629,0.00417790561914444,0.003866836428642273,-0.009074509143829346,0.29602986574172974,0.000509215984493494,0.023236554116010666
