local_ts,session_id,sequence,sample_rate_hz,watch_sent_at,phone_received_at,source,ts,ax,ay,az,rx,ry,rz
2026-04-30T13:22:45.828606+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,0,50,1777555361836,1777555361883,message,1777555361650,-0.0007323175668716431,-0.0029575852677226067,0.001352071762084961,-0.05269189178943634,-0.012877088971436024,-0.017247488722205162
2026-04-30T13:22:45.828606+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,0,50,1777555361836,1777555361883,message,1777555361669,0.022592276334762573,0.018737835809588432,-0.008625566959381104,-0.01621164381504059,-0.0077628688886761665,0.0001778933365130797
2026-04-30T13:22:45.828606+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,0,50,1777555361836,1777555361883,message,1777555361689,0.007606074213981628,0.001431535929441452,-0.005401909351348877,-0.012587347067892551,-0.007749210577458143,0.013250977732241154
2026-04-30T13:22:45.828606+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,0,50,1777555361836,1777555361883,message,1777555361710,0.004208981990814209,-0.0028491057455539703,-0.00427854061126709,0.008228719234466553,-0.007484834641218185,0.0012370324693620205
2026-04-30T13:22:45.828606+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,0,50,1777555361836,1777555361883,message,1777555361732,0.002344191074371338,-0.007785934954881668,-0.005728483200073242,-0.011997723020613194,-0.003295073751360178,-0.009940414689481258
2026-04-30T13:22:45.828606+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,0,50,1777555361836,1777555361883,message,1777555361750,-0.0033951401710510254,-0.008971771225333214,-0.003308117389678955,-0.0107108848169446,-0.00273143476806581,-0.008939065970480442
2026-04-30T13:22:45.828606+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,0,50,1777555361836,1777555361883,message,1777555361770,-0.003160431981086731,0.007298324257135391,-0.007481992244720459,0.019127173349261284,-0.007125840522348881,-0.0019052845891565084
2026-04-30T13:22:45.828606+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,0,50,1777555361836,1777555361883,message,1777555361790,-0.004939019680023193,0.0038137156516313553,-0.0005970001220703125,-0.0021035484969615936,-0.004119093995541334,0.001719277584925294
2026-04-30T13:22:45.828606+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,0,50,1777555361836,1777555361883,message,1777555361811,-0.0016385018825531006,0.004963872022926807,-0.0010566115379333496,-0.0009091198444366455,-0.009012006223201752,0.0057206773199141026
2026-04-30T13:22:45.828606+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,0,50,1777555361836,1777555361883,message,1777555361835,-0.0017639696598052979,0.002857038751244545,-0.0047692060470581055,0.0066894106566905975,-0.008802946656942368,0.00235332315787673
2026-04-30T13:22:45.855624+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,1,50,1777555362032,1777555362090,message,1777555361851,-0.0011405795812606812,-0.0019954610615968704,-0.009611248970031738,0.009058559313416481,-0.0027916983235627413,-0.005138681270182133
2026-04-30T13:22:45.855624+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,1,50,1777555362032,1777555362090,message,1777555361870,0.001610875129699707,-0.006660601124167442,-0.003295004367828369,-0.0005663707852363586,-0.00018434954108670354,-0.006912719924002886
2026-04-30T13:22:45.855624+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,1,50,1777555362032,1777555362090,message,1777555361890,0.0029127895832061768,-0.002369331195950508,-0.00658726692199707,-0.0026332512497901917,0.0018434193916618824,-0.01376604475080967
2026-04-30T13:22:45.855624+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,1,50,1777555362032,1777555362090,message,1777555361911,0.003741934895515442,0.003759360872209072,-0.005086779594421387,-0.01083765085786581,-0.0021297126077115536,-0.010796247981488705
2026-04-30T13:22:45.855624+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,1,50,1777555362032,1777555362090,message,1777555361931,0.0020303875207901,0.0014703180640935898,-0.002575993537902832,-0.04542439058423042,-0.0029659071005880833,-0.010760614648461342
2026-04-30T13:22:45.855624+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,1,50,1777555362032,1777555362090,message,1777555361951,0.0017378032207489014,-0.0020963698625564575,-0.0011706948280334473,-0.06650038063526154,0.00018130242824554443,-0.0007514965836890042
2026-04-30T13:22:45.855624+00:00,7E3D180C-09D3-4C59-A32F-44BECB2B4253,1,50,1777555362032,1777555362090,message,1777555361971,-0.002383306622505188,0.01197039894759655,-0.004538297653198242,-0.039769966155290604,0.0026121598202735186,0.0069776359014213085
